,instance,Unnamed: 0,status,obj,model time (s),total time (s),gap,source
110,URT_03_deadline,0,2,deadline,0.0390000343322753,0.0602419376373291,0.0,milp
111,URT_03_makespan,0,2,makespan,0.1340000629425048,0.1502585411071777,0.0,milp
112,URT_04_deadline,0,2,deadline,0.0380001068115234,0.0589797496795654,0.0,milp
113,URT_04_makespan,0,2,makespan,0.121000051498413,0.1437487602233886,0.0,milp
114,URT_05_deadline,0,2,deadline,0.0389997959136962,0.0603539943695068,0.0,milp
115,URT_05_makespan,0,2,makespan,0.116999864578247,0.1443109512329101,0.0,milp
116,URT_06_deadline,0,2,deadline,0.0379998683929443,0.0545177459716796,0.0,milp
117,URT_06_makespan,0,2,makespan,0.0619997978210449,0.0861365795135498,0.0,milp
118,URT_07_deadline,0,2,deadline,0.2580001354217529,0.2832953929901123,0.0,milp
119,URT_07_makespan,0,9,makespan,3600.569999933243,3600.592798948288,0.0277777777777777,milp
120,URT_08_deadline,0,2,deadline,0.2079999446868896,0.2595317363739013,0.0,milp
121,URT_08_makespan,0,2,makespan,0.3440001010894775,1.490323781967163,0.0,milp
122,URT_09_deadline,0,2,deadline,0.0360000133514404,0.0538272857666015,0.0,milp
123,URT_09_makespan,0,2,makespan,0.0529999732971191,0.0651979446411132,0.0,milp
124,URT_10_deadline,0,2,deadline,1.996000051498413,2.028818130493164,0.0,milp
125,URT_10_makespan,0,9,makespan,3600.611000061035,3600.653029203415,0.0597014925373134,milp
126,URT_11_deadline,0,2,deadline,4.486999988555908,4.5335845947265625,0.0,milp
127,URT_11_makespan,0,2,makespan,2.874000072479248,4.5104827880859375,0.0,milp
128,URT_12_deadline,0,2,deadline,12.773000001907349,12.83017873764038,0.0,milp
129,URT_12_makespan,0,2,makespan,22.05800008773804,22.111319065094,0.0,milp
130,URT_13_deadline,0,2,deadline,217.6180000305176,217.70165872573853,0.0,milp
131,URT_13_makespan,0,2,makespan,135.02499985694885,135.12480235099792,0.0,milp
132,URT_14_deadline,0,9,deadline,3600.0299999713898,3600.1195340156555,0.3653846153846153,milp
133,URT_14_makespan,0,9,makespan,3600.0490000247955,3600.1383697986603,0.2434782608695652,milp
134,URT_15_deadline,0,9,deadline,3600.036999940872,3607.196492433548,0.3846153846153846,milp
135,URT_15_makespan,0,9,makespan,3600.055999994278,3613.974479913712,0.2347826086956521,milp
136,URT_16_deadline,0,9,deadline,3600.075000047684,3607.527266502381,0.8571428571428571,milp
137,URT_16_makespan,0,9,makespan,3600.072999954224,3614.3784046173096,0.4166666666666667,milp
138,URT_17_deadline,0,9,deadline,3603.013000011444,3618.529448747635,0.956140350877193,milp
