
Gurobi 10.0.1 (win64) logging started Sun Oct  8 07:17:57 2023

Set parameter LogFile to value "./results//log/FMS_09_deadline_heurTrue.log"
Gurobi Optimizer version 10.0.1 build v10.0.1rc0 (win64)

CPU model: AMD Ryzen 7 3700X 8-Core Processor, instruction set [SSE2|AVX|AVX2]
Thread count: 8 physical cores, 16 logical processors, using up to 16 threads

Optimize a model with 193 rows, 124 columns and 752 nonzeros
Model fingerprint: 0x995c0f1b
Model has 1 quadratic constraint
Variable types: 0 continuous, 124 integer (105 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+07]
  QMatrix range    [1e+00, 1e+00]
  QLMatrix range   [1e+00, 4e+02]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+07]

User MIP start did not produce a new incumbent solution
User MIP start violates constraint initial_start_time_job0_stage0_machine0_constraint by 420.000000000

Presolve removed 33 rows and 45 columns
Presolve time: 0.01s
Presolved: 167 rows, 85 columns, 735 nonzeros
Variable types: 0 continuous, 85 integer (60 binary)

Root relaxation: objective 0.000000e+00, 30 iterations, 0.00 seconds (0.00 work units)
Another try with MIP start

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 11388693     3  839.00000 3793768    3  850.00000  839.00000  1.29%   0.0  750s
 11429541     3  839.00000 3807384    3  850.00000  839.00000  1.29%   0.0  755s
 11470389     3  839.00000 3821000    3  850.00000  839.00000  1.29%   0.0  760s
 11508684     3  839.00000 3833765    3  850.00000  839.00000  1.29%   0.0  765s
 11546979     3  839.00000 3846530    3  850.00000  839.00000  1.29%   0.0  770s
 11587827     3  839.00000 3860146    3  850.00000  839.00000  1.29%   0.0  775s
 11626122     3  839.00000 3872911    3  850.00000  839.00000  1.29%   0.0  780s
 11666970     3  839.00000 3886527    3  850.00000  839.00000  1.29%   0.0  785s
 11702712     3  839.00000 3898441    3  850.00000  839.00000  1.29%   0.0  790s
 11743560     3  839.00000 3912057    3  850.00000  839.00000  1.29%   0.0  795s
 11781855     3  839.00000 3924822    3  850.00000  839.00000  1.29%   0.0  800s
 11822703     3  839.00000 3938438    3  850.00000  839.00000  1.29%   0.0  805s
 11860998     3  839.00000 3951203    3  850.00000  839.00000  1.29%   0.0  810s
 11896740     3  839.00000 3963117    3  850.00000  839.00000  1.29%   0.0  815s
 11937588     3  839.00000 3976733    3  850.00000  839.00000  1.29%   0.0  820s
 11975883     3  839.00000 3989498    3  850.00000  839.00000  1.29%   0.0  825s
 12014178     3  839.00000 4002263    3  850.00000  839.00000  1.29%   0.0  830s
 12052473     3  839.00000 4015028    3  850.00000  839.00000  1.29%   0.0  835s
 12090768     3  839.00000 4027793    3  850.00000  839.00000  1.29%   0.0  840s
 12129063     3  839.00000 4040558    3  850.00000  839.00000  1.29%   0.0  845s
 12167358     3  839.00000 4053323    3  850.00000  839.00000  1.29%   0.0  850s
 12203100     3  839.00000 4065237    3  850.00000  839.00000  1.29%   0.0  855s
 12241395     3  839.00000 4078002    3  850.00000  839.00000  1.29%   0.0  860s
 12279690     3  839.00000 4090767    3  850.00000  839.00000  1.29%   0.0  865s
 12317985     3  839.00000 4103532    3  850.00000  839.00000  1.29%   0.0  870s
 12353727     3  839.00000 4115446    3  850.00000  839.00000  1.29%   0.0  875s
 12392022     3  839.00000 4128211    3  850.00000  839.00000  1.29%   0.0  880s
 12430317     3  839.00000 4140976    3  850.00000  839.00000  1.29%   0.0  885s
 12468612     3  839.00000 4153741    3  850.00000  839.00000  1.29%   0.0  890s
 12504354     3  839.00000 4165655    3  850.00000  839.00000  1.29%   0.0  895s
 12542649     3  839.00000 4178420    3  850.00000  839.00000  1.29%   0.0  900s
 12578391     3  839.00000 4190334    3  850.00000  839.00000  1.29%   0.0  905s
 12616686     3  839.00000 4203099    3  850.00000  839.00000  1.29%   0.0  910s
 12652428     3  839.00000 4215013    3  850.00000  839.00000  1.29%   0.0  915s
 12690723     3  839.00000 4227778    3  850.00000  839.00000  1.29%   0.0  920s
 12726465     3  839.00000 4239692    3  850.00000  839.00000  1.29%   0.0  925s
 12764760     3  839.00000 4252457    3  850.00000  839.00000  1.29%   0.0  930s
 12797949     3  839.00000 4263520    3  850.00000  839.00000  1.29%   0.0  935s
 12836244     3  839.00000 4276285    3  850.00000  839.00000  1.29%   0.0  940s
 12871986     3  839.00000 4288199    3  850.00000  839.00000  1.29%   0.0  945s
 12907728     3  839.00000 4300113    3  850.00000  839.00000  1.29%   0.0  950s
 12943470     3  839.00000 4312027    3  850.00000  839.00000  1.29%   0.0  955s
 12981765     3  839.00000 4324792    3  850.00000  839.00000  1.29%   0.0  960s
 13017507     3  839.00000 4336706    3  850.00000  839.00000  1.29%   0.0  965s
 13053249     3  839.00000 4348620    3  850.00000  839.00000  1.29%   0.0  970s
 13088991     3  839.00000 4360534    3  850.00000  839.00000  1.29%   0.0  975s
 13124733     3  839.00000 4372448    3  850.00000  839.00000  1.29%   0.0  980s
 13160475     3  839.00000 4384362    3  850.00000  839.00000  1.29%   0.0  985s
 13196217     3  839.00000 4396276    3  850.00000  839.00000  1.29%   0.0  990s
 13231959     3  839.00000 4408190    3  850.00000  839.00000  1.29%   0.0  995s
 13267701     3  839.00000 4420104    3  850.00000  839.00000  1.29%   0.0 1000s
 13303443     3  839.00000 4432018    3  850.00000  839.00000  1.29%   0.0 1005s
 13336632     3  839.00000 4443081    3  850.00000  839.00000  1.29%   0.0 1010s
 13369821     3  839.00000 4454144    3  850.00000  839.00000  1.29%   0.0 1015s
 13405563     3  839.00000 4466058    3  850.00000  839.00000  1.29%   0.0 1020s
 13441305     3  839.00000 4477972    3  850.00000  839.00000  1.29%   0.0 1025s
 13477047     3  839.00000 4489886    3  850.00000  839.00000  1.29%   0.0 1030s
 13510236     3  839.00000 4500949    3  850.00000  839.00000  1.29%   0.0 1035s
 13543425     3  839.00000 4512012    3  850.00000  839.00000  1.29%   0.0 1040s
 13579167     3  839.00000 4523926    3  850.00000  839.00000  1.29%   0.0 1045s
 13614909     3  839.00000 4535840    3  850.00000  839.00000  1.29%   0.0 1050s
 13648098     3  839.00000 4546903    3  850.00000  839.00000  1.29%   0.0 1055s
 13681287     3  839.00000 4557966    3  850.00000  839.00000  1.29%   0.0 1060s
 13714476     3  839.00000 4569029    3  850.00000  839.00000  1.29%   0.0 1065s
 13750218     3  839.00000 4580943    3  850.00000  839.00000  1.29%   0.0 1070s
 13783407     3  839.00000 4592006    3  850.00000  839.00000  1.29%   0.0 1075s
 13816596     3  839.00000 4603069    3  850.00000  839.00000  1.29%   0.0 1080s
 13849785     3  839.00000 4614132    3  850.00000  839.00000  1.29%   0.0 1085s
 13885527     3  839.00000 4626046    3  850.00000  839.00000  1.29%   0.0 1090s
 13918716     3  839.00000 4637109    3  850.00000  839.00000  1.29%   0.0 1095s
 13951905     3  839.00000 4648172    3  850.00000  839.00000  1.29%   0.0 1100s
 13985094     3  839.00000 4659235    3  850.00000  839.00000  1.29%   0.0 1105s
 14020836     3  839.00000 4671149    3  850.00000  839.00000  1.29%   0.0 1110s
 14054025     3  839.00000 4682212    3  850.00000  839.00000  1.29%   0.0 1115s
 14087214     3  839.00000 4693275    3  850.00000  839.00000  1.29%   0.0 1120s
 14120403     3  839.00000 4704338    3  850.00000  839.00000  1.29%   0.0 1125s
 14153592     3  839.00000 4715401    3  850.00000  839.00000  1.29%   0.0 1130s
 14185079     3  839.00000 4725613    3  850.00000  839.00000  1.29%   0.0 1135s
 14218268     3  839.00000 4736676    3  850.00000  839.00000  1.29%   0.0 1140s
 14251457     3  839.00000 4747739    3  850.00000  839.00000  1.29%   0.0 1145s
 14284646     3  839.00000 4758802    3  850.00000  839.00000  1.29%   0.0 1150s
 14317835     3  839.00000 4769865    3  850.00000  839.00000  1.29%   0.0 1155s
 14351024     3  839.00000 4780928    3  850.00000  839.00000  1.29%   0.0 1160s
 14384213     3  839.00000 4791991    3  850.00000  839.00000  1.29%   0.0 1165s
 14414849     3  839.00000 4802203    3  850.00000  839.00000  1.29%   0.0 1170s
 14448038     3  839.00000 4813266    3  850.00000  839.00000  1.29%   0.0 1175s
 14481227     3  839.00000 4824329    3  850.00000  839.00000  1.29%   0.0 1180s
 14511863     3  839.00000 4834541    3  850.00000  839.00000  1.29%   0.0 1185s
 14545052     3  839.00000 4845604    3  850.00000  839.00000  1.29%   0.0 1190s
 14578241     3  839.00000 4856667    3  850.00000  839.00000  1.29%   0.0 1195s
 14608877     3  839.00000 4866879    3  850.00000  839.00000  1.29%   0.0 1200s
 14642066     3  839.00000 4877942    3  850.00000  839.00000  1.29%   0.0 1205s
 14672702     3  839.00000 4888154    3  850.00000  839.00000  1.29%   0.0 1210s
 14703338     3  839.00000 4898366    3  850.00000  839.00000  1.29%   0.0 1215s
 14733974     3  839.00000 4908578    3  850.00000  839.00000  1.29%   0.0 1220s
 14764610     3  839.00000 4918790    3  850.00000  839.00000  1.29%   0.0 1225s
 14797799     3  839.00000 4929853    3  850.00000  839.00000  1.29%   0.0 1230s
 14828435     3  839.00000 4940065    3  850.00000  839.00000  1.29%   0.0 1235s
 14861624     3  839.00000 4951128    3  850.00000  839.00000  1.29%   0.0 1240s
 14892260     3  839.00000 4961340    3  850.00000  839.00000  1.29%   0.0 1245s
